0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:53:15 +0700] "GET /Java5/BtMayTinh_.jsp HTTP/1.1" 200 721
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:53:17 +0700] "GET /Java5/BtMayTinh_.jsp?a=0&b=0&calculate=ptb2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:53:17 +0700] "GET /Java5/ptb2.jsp HTTP/1.1" 200 511
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:53:23 +0700] "GET /Java5/BtMayTinh_.jsp?a=0&b=0&c=0&calculate=ptb2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:53:23 +0700] "GET /Java5/ptb2.jsp HTTP/1.1" 200 511
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:53:24 +0700] "GET /Java5/BtMayTinh_.jsp?a=0&b=0&c=0&calculate=ptb2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:53:24 +0700] "GET /Java5/ptb2.jsp HTTP/1.1" 200 511
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:53:51 +0700] "GET /Java5/ptb2.jsp HTTP/1.1" 200 505
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:53:53 +0700] "GET /Java5/ptb2.jsp?a=0&b=0&c=0&calculate=ptb2 HTTP/1.1" 200 492
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:54:00 +0700] "GET /Java5/ptb2.jsp?a=0&b=5&c=4&calculate=ptb2 HTTP/1.1" 200 499
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:54:49 +0700] "GET /Java5/ptb2.jsp?a=0&b=5&c=4&calculate=ptb2 HTTP/1.1" 200 499
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:54:50 +0700] "GET /Java5/ptb2.jsp?a=0&b=5&c=4&calculate=ptb2 HTTP/1.1" 200 499
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:54:51 +0700] "GET /Java5/ptb2.jsp?a=0&b=5&c=4&calculate=ptb2 HTTP/1.1" 200 499
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:54:52 +0700] "GET /Java5/ptb2.jsp?a=0&b=5&c=4&calculate=ptb2 HTTP/1.1" 200 499
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:54:52 +0700] "GET /Java5/ptb2.jsp?a=0&b=5&c=4&calculate=ptb2 HTTP/1.1" 200 499
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:55:01 +0700] "GET /Java5/BtMayTinh_.jsp?a=0&b=0&calculate=ptb2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:55:01 +0700] "GET /Java5/ptb2.jsp HTTP/1.1" 200 505
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:55:05 +0700] "GET /Java5/ptb2.jsp?a=0&b=5&c=3&calculate=ptb2 HTTP/1.1" 200 499
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:55:43 +0700] "GET /Java5/ptb2.jsp?a=0&b=&c=3&calculate=ptb2 HTTP/1.1" 500 2558
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:59:26 +0700] "GET /Java5/BtMayTinh_.jsp HTTP/1.1" 200 721
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:59:27 +0700] "GET /Java5/BtMayTinh_.jsp?a=0&b=0&calculate=ptb2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:59:27 +0700] "GET /Java5/ptb2.jsp HTTP/1.1" 200 505
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:59:39 +0700] "GET /Java5/ptb2.jsp?a=5&b=6&c=2&calculate=ptb2 HTTP/1.1" 200 513
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:01:36 +0700] "GET /Java5/BtMayTinh_.jsp?a=5&b=1&calculate=%2B HTTP/1.1" 200 706
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:01:38 +0700] "GET /Java5/BtMayTinh_.jsp?a=5&b=1&calculate=- HTTP/1.1" 200 706
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:01:39 +0700] "GET /Java5/BtMayTinh_.jsp?a=5&b=1&calculate=* HTTP/1.1" 200 706
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:01:40 +0700] "GET /Java5/BtMayTinh_.jsp?a=5&b=1&calculate=%2F HTTP/1.1" 200 708
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:01:41 +0700] "GET /Java5/BtMayTinh_.jsp?a=5&b=1&calculate=%2B HTTP/1.1" 200 706
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:01:43 +0700] "GET /Java5/BtMayTinh_.jsp?a=5&b=1&calculate=ptb2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:01:43 +0700] "GET /Java5/ptb2.jsp HTTP/1.1" 200 505
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:01:50 +0700] "GET /Java5/ptb2.jsp?a=5&b=5&c=5&calculate=ptb2 HTTP/1.1" 200 482
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:01:51 +0700] "GET /Java5/ptb2.jsp?a=5&b=5&c=5&calculate=ptb2 HTTP/1.1" 200 482
0:0:0:0:0:0:0:1 - - [19/Sep/2022:11:04:35 +0700] "GET /Java5/ptb2.jsp HTTP/1.1" 500 2912
